"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SN32","SN33","SN52","SN53","SNOW","SNWD","SX32","SX33","SX52","SX53","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV20"
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-01","   40","   30","14.54"," 1550"," 0002","0.13",,"44","45","43","46","0.0","0.0","49","46","49","48",,"62","31","  464","  320",,,"  225",,"23.9",,,"44.7",,,,,,,,,,,,,,,"    1",,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-02","   40","   60","5.37"," 1450"," 1455","0.00",,"41","41","40","44","0.0","0.0","44","44","43","47",,"48","22","  464","  210",,,"  225",,"13.0",,,"17.2",,,,,,,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-03","   30","   20","8.05"," 1450"," 1358","0.00",,"40","41","40","44","0.0","0.0","44","42","43","46",,"58","31","  514","  230",,,"  225",,"14.1",,,"21.9",,,,,,,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-04","  100","  100","8.05"," 1551"," 1709","0.00",,"43","42","42","44","0.0","0.0","47","45","47","47",,"63","44","    0","  180",,,"  180",,"14.1",,,"20.8",,,,,,,,,,,,,,,"    1",,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-05","  100","  100","4.70"," 1150"," 1207","0.05",,"48","46","47","46","0.0","0.0","49","46","49","48",,"61","47","    0","   10",,,"  360",,"8.9",,,"11.4","    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-06","  100","  100","6.26"," 1550"," 1535","0.31",,"47","46","48","46","0.0","0.0","49","47","49","49",,"55","43","    0","  320",,,"  315",,"17.0",,,"20.8","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-07","  100","  100","3.36"," 2250"," 2159","0.06",,"46","46","46","48","0.0","0.0","50","47","49","49",,"48","40","    0","  330",,,"  360",,"6.9",,,"10.3","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-08","   80","  100","7.61"," 1550"," 1619","0.50",,"44","45","45","47","0.0","0.0","47","47","48","49",,"45","34","    0","  320",,,"  315",,"16.1",,,"24.2","    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-09","   60","   80","7.61"," 2250"," 1955","0.00",,"44","43","43","46","0.0","0.0","47","45","48","50",,"51","33","  112","  210",,,"  180",,"13.0",,,"20.8","    1","    1",,,,,,"    1",,,,,,,,,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-10","   20","   30","11.86"," 1150"," 1302","0.00",,"44","44","44","46","0.0","0.0","46","44","46","47",,"59","29","  490","  270",,,"  270",,"23.9",,,"36.7",,,,,,,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-11","   40","   50","9.62"," 1350"," 1514","0.00",,"41","44","41","45","0.0","0.0","45","44","45","47",,"64","27","  443","  210",,,"  225",,"16.1",,,"26.4",,,,,,,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-12","   30","   40","15.66"," 1050"," 1611","0.00",,"43","43","43","45","0.0","0.0","46","44","45","47",,"54","33","  362","  270",,,"  315",,"21.0",,,"34.4",,,,,,,,,,,,,,,,,,,,,,
"USW00013722","RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US","1990-01-13","   10","    0","10.29"," 1150"," 0145","0.00",,"40","41","39","44","0.0","0.0","43","44","43","47",,"45","24","  598","  270",,,"  315",,"17.0",,,"25.3",,,,,,,,,,,,,,,,,,,,,,
